PMU_SegArb_ExampleB,VMeasCh1,IMeasCh1,VMeasCh2,IMeasCh2,TimeOutput,StatusCh1,StatusCh2,G,R,R_AV
,2.0049E+0,-476.5486E-9,100.2576E-3,7.1408E-6,104.2700E-6,,,71.2250E-6,14.0400E+3,
,2.0006E+0,-752.7997E-9,104.6400E-3,7.4144E-6,104.2750E-6,,,70.8561E-6,14.1131E+3,
,1.9963E+0,-68.4402E-9,109.0224E-3,7.4136E-6,104.2800E-6,,,68.0012E-6,14.7056E+3,
,2.0078E+0,759.7163E-9,103.1792E-3,7.1404E-6,104.2850E-6,,,69.2035E-6,14.4501E+3,
,1.9992E+0,481.6744E-9,104.6400E-3,5.7688E-6,104.2900E-6,,,55.1299E-6,18.1390E+3,
,1.9977E+0,-67.8432E-9,101.7184E-3,5.2207E-6,104.2950E-6,,,51.3255E-6,19.4835E+3,
,2.0006E+0,-203.8792E-9,101.7184E-3,5.7693E-6,104.3000E-6,,,56.7181E-6,17.6310E+3,
,1.9992E+0,344.4442E-9,100.2576E-3,6.5923E-6,104.3050E-6,,,65.7538E-6,15.2083E+3,
,1.9906E+0,203.6321E-9,106.1008E-3,6.3171E-6,104.3100E-6,,,59.5385E-6,16.7959E+3,
,1.9992E+0,-341.7064E-9,106.1008E-3,4.8086E-6,104.3150E-6,,,45.3213E-6,22.0647E+3,
,2.0049E+0,-613.7787E-9,100.2576E-3,4.2611E-6,104.3200E-6,,,42.5012E-6,23.5287E+3,
,1.9920E+0,-619.1515E-9,97.3359E-3,4.1244E-6,104.3250E-6,,,42.3730E-6,23.5999E+3,
,1.9963E+0,-205.6703E-9,98.7968E-3,4.3984E-6,104.3300E-6,,,44.5201E-6,22.4618E+3,
,2.0049E+0,-476.5486E-9,103.1792E-3,3.1635E-6,104.3350E-6,,,30.6605E-6,32.6153E+3,
,1.9963E+0,343.2502E-9,101.7184E-3,3.1638E-6,104.3400E-6,,,31.1032E-6,32.1510E+3,
,1.9949E+0,479.8835E-9,95.8752E-3,3.9875E-6,104.3450E-6,,,41.5909E-6,24.0437E+3,
,2.0035E+0,346.2351E-9,103.1792E-3,4.3977E-6,104.3500E-6,,,42.6221E-6,23.4620E+3,
,1.9920E+0,478.6894E-9,104.6400E-3,4.2603E-6,104.3550E-6,,,40.7143E-6,24.5614E+3,
,1.9992E+0,618.9045E-9,100.2576E-3,4.9467E-6,104.3600E-6,,,49.3402E-6,20.2675E+3,
,1.9977E+0,618.3077E-9,101.7184E-3,4.3980E-6,104.3650E-6,,,43.2366E-6,23.1286E+3,
,1.9934E+0,479.2864E-9,98.7968E-3,4.5356E-6,104.3700E-6,,,45.9081E-6,21.7826E+3,
,1.9992E+0,207.2141E-9,109.0224E-3,4.6710E-6,104.3750E-6,,,42.8445E-6,23.3402E+3,
,2.0020E+0,894.5588E-9,101.7184E-3,5.2207E-6,104.3800E-6,,,51.3255E-6,19.4835E+3,
,1.9920E+0,1.1648E-6,98.7968E-3,5.9069E-6,104.3850E-6,,,59.7883E-6,16.7257E+3,
,2.0078E+0,1.8576E-6,100.2576E-3,6.3180E-6,104.3900E-6,,,63.0182E-6,15.8684E+3,
,2.0035E+0,1.7185E-6,109.0224E-3,5.9052E-6,104.3950E-6,,,54.1650E-6,18.4621E+3,
,1.9949E+0,1.8522E-6,100.2576E-3,4.9467E-6,104.4000E-6,,,49.3402E-6,20.2675E+3,
,2.0035E+0,2.5419E-6,98.7968E-3,4.9470E-6,104.4050E-6,,,50.0722E-6,19.9712E+3,
,1.9934E+0,2.8122E-6,103.1792E-3,5.2205E-6,104.4100E-6,,,50.5965E-6,19.7642E+3,
,2.0049E+0,1.7191E-6,104.6400E-3,5.7688E-6,104.4150E-6,,,55.1299E-6,18.1390E+3,
,2.0035E+0,1.5813E-6,103.1792E-3,5.7690E-6,104.4200E-6,,,55.9128E-6,17.8850E+3,
,1.9992E+0,1.3051E-6,104.6400E-3,7.0030E-6,104.4250E-6,,,66.9245E-6,14.9422E+3,
,2.0035E+0,1.3068E-6,106.1008E-3,7.5513E-6,104.4300E-6,,,71.1707E-6,14.0507E+3,
,1.9992E+0,344.4442E-9,104.6400E-3,7.5515E-6,104.4350E-6,,,72.1666E-6,13.8568E+3,
,2.0006E+0,70.5810E-9,107.5616E-3,7.9624E-6,104.4400E-6,,,74.0266E-6,13.5087E+3,
,1.9949E+0,68.1931E-9,106.1008E-3,8.0998E-6,104.4450E-6,,,76.3406E-6,13.0992E+3,
,2.0035E+0,209.0050E-9,106.1008E-3,7.2770E-6,104.4500E-6,,,68.5858E-6,14.5803E+3,
,1.9963E+0,-205.6703E-9,109.0224E-3,5.7681E-6,104.4550E-6,,,52.9072E-6,18.9010E+3,
,1.9977E+0,343.8472E-9,107.5616E-3,4.3970E-6,104.4600E-6,,,40.8788E-6,24.4626E+3,
,1.9992E+0,-204.4763E-9,100.2576E-3,3.3011E-6,104.4650E-6,,,32.9266E-6,30.3706E+3,
,1.9949E+0,-617.9575E-9,97.3359E-3,3.1645E-6,104.4700E-6,,,32.5111E-6,30.7588E+3,
,2.0035E+0,-1.0261E-6,100.2576E-3,2.6155E-6,104.4750E-6,,,26.0876E-6,38.3323E+3,
,1.9963E+0,-1.7152E-6,101.7184E-3,3.0266E-6,104.4800E-6,,,29.7551E-6,33.6077E+3,
,2.0049E+0,-888.2390E-9,100.2576E-3,3.9868E-6,104.4850E-6,,,39.7656E-6,25.1474E+3,
,2.0035E+0,-477.1456E-9,103.1792E-3,3.4378E-6,104.4900E-6,,,33.3186E-6,30.0132E+3,
,2.0020E+0,-889.4328E-9,103.1792E-3,2.6150E-6,104.4950E-6,,,25.3442E-6,39.4567E+3,
,2.0006E+0,-478.3395E-9,101.7184E-3,1.9296E-6,104.5000E-6,,,18.9698E-6,52.7153E+3,
,2.0035E+0,895.1556E-9,98.7968E-3,3.7128E-6,104.5050E-6,,,37.5800E-6,26.6099E+3,
,2.0078E+0,759.7163E-9,97.3359E-3,5.0843E-6,104.5100E-6,,,52.2350E-6,19.1442E+3,
,1.9963E+0,206.0200E-9,104.6400E-3,5.7688E-6,104.5150E-6,,,55.1299E-6,18.1390E+3,
,2.0020E+0,345.6383E-9,98.7968E-3,5.9069E-6,104.5200E-6,,,59.7883E-6,16.7257E+3,
,1.9992E+0,893.3647E-9,103.1792E-3,7.0032E-6,104.5250E-6,,,67.8744E-6,14.7331E+3,
,1.9992E+0,756.1346E-9,104.6400E-3,6.7287E-6,104.5300E-6,,,64.3035E-6,15.5513E+3,
,2.0006E+0,345.0413E-9,100.2576E-3,6.5923E-6,104.5350E-6,,,65.7538E-6,15.2083E+3,
,2.0078E+0,-200.8943E-9,106.1008E-3,6.8656E-6,104.5400E-6,,,64.7084E-6,15.4540E+3,
,2.0092E+0,-200.2972E-9,104.6400E-3,6.1802E-6,104.5450E-6,,,59.0615E-6,16.9315E+3,
,1.9949E+0,-755.1876E-9,97.3359E-3,6.0443E-6,104.5500E-6,,,62.0970E-6,16.1038E+3,
,2.0006E+0,-1.3017E-6,103.1792E-3,5.6319E-6,104.5550E-6,,,54.5837E-6,18.3205E+3,
,2.0049E+0,-1.4372E-6,110.4832E-3,6.0421E-6,104.5600E-6,,,54.6878E-6,18.2856E+3,
,1.9977E+0,-1.4401E-6,104.6400E-3,7.1401E-6,104.5650E-6,,,68.2350E-6,14.6552E+3,
,2.0006E+0,-478.3395E-9,95.8752E-3,7.0044E-6,104.5700E-6,,,73.0579E-6,13.6878E+3,
,1.9906E+0,615.3227E-9,106.1008E-3,6.0428E-6,104.5750E-6,,,56.9535E-6,17.5582E+3,
,2.0092E+0,1.3092E-6,95.8752E-3,5.4960E-6,104.5800E-6,,,57.3244E-6,17.4446E+3,
,1.9992E+0,2.1284E-6,107.5616E-3,6.1797E-6,104.5850E-6,,,57.4527E-6,17.4056E+3,
,2.0006E+0,2.4035E-6,95.8752E-3,6.7302E-6,104.5900E-6,,,70.1973E-6,14.2456E+3,
,2.0078E+0,2.1320E-6,103.1792E-3,6.1804E-6,104.5950E-6,,,59.9000E-6,16.6945E+3,
,1.9934E+0,2.1260E-6,106.1008E-3,5.7685E-6,104.6000E-6,,,54.3686E-6,18.3930E+3,
,1.9963E+0,1.8528E-6,109.0224E-3,6.0423E-6,104.6050E-6,,,55.4228E-6,18.0431E+3,
,1.9949E+0,1.3033E-6,104.6400E-3,6.4545E-6,104.6100E-6,,,61.6825E-6,16.2121E+3,
,2.0049E+0,209.6020E-9,97.3359E-3,6.1814E-6,104.6150E-6,,,63.5058E-6,15.7466E+3,
,2.0049E+0,484.0622E-9,100.2576E-3,5.4953E-6,104.6200E-6,,,54.8114E-6,18.2444E+3,
,1.9963E+0,892.1706E-9,107.5616E-3,5.4940E-6,104.6250E-6,,,51.0781E-6,19.5779E+3,
,2.0020E+0,1.3062E-6,106.1008E-3,5.6314E-6,104.6300E-6,,,53.0761E-6,18.8409E+3,
,2.0006E+0,1.3057E-6,104.6400E-3,5.2203E-6,104.6350E-6,,,49.8879E-6,20.0450E+3,
,1.9977E+0,755.5378E-9,101.7184E-3,5.6321E-6,104.6400E-6,,,55.3700E-6,18.0603E+3,
,1.9977E+0,481.0773E-9,101.7184E-3,5.4950E-6,104.6450E-6,,,54.0218E-6,18.5110E+3,
,1.9963E+0,480.4803E-9,106.1008E-3,4.8086E-6,104.6500E-6,,,45.3213E-6,22.0647E+3,
,2.0020E+0,71.1781E-9,101.7184E-3,4.6722E-6,104.6550E-6,,,45.9329E-6,21.7709E+3,
,2.0049E+0,758.5227E-9,100.2576E-3,3.8497E-6,104.6600E-6,,,38.3978E-6,26.0432E+3,
,2.0020E+0,757.3287E-9,107.5616E-3,4.1227E-6,104.6650E-6,,,38.3289E-6,26.0899E+3,
,1.9992E+0,1.1678E-6,103.1792E-3,4.5348E-6,104.6700E-6,,,43.9512E-6,22.7525E+3,
,2.0064E+0,1.1708E-6,101.7184E-3,4.5351E-6,104.6750E-6,,,44.5848E-6,22.4292E+3,
,2.0049E+0,1.1702E-6,110.4832E-3,4.3965E-6,104.6800E-6,,,39.7934E-6,25.1298E+3,
,1.9949E+0,68.1931E-9,104.6400E-3,4.3975E-6,104.6850E-6,,,42.0248E-6,23.7955E+3,
,2.0035E+0,1.7185E-6,95.8752E-3,4.8103E-6,104.6900E-6,,,50.1728E-6,19.9311E+3,
,2.0064E+0,-64.2612E-9,109.0224E-3,4.3967E-6,104.6950E-6,,,40.3288E-6,24.7962E+3,
,1.9992E+0,-478.9365E-9,104.6400E-3,4.2603E-6,104.7000E-6,,,40.7143E-6,24.5614E+3,
,2.0035E+0,-888.8360E-9,110.4832E-3,4.1222E-6,104.7050E-6,,,37.3110E-6,26.8018E+3,
,1.9992E+0,-753.3967E-9,97.3359E-3,4.1244E-6,104.7100E-6,,,42.3730E-6,23.5999E+3,
,2.0035E+0,-1.0261E-6,104.6400E-3,3.7118E-6,104.7150E-6,,,35.4722E-6,28.1911E+3,
,1.9949E+0,-69.0370E-9,97.3359E-3,3.8502E-6,104.7200E-6,,,39.5553E-6,25.2810E+3,
,2.0020E+0,894.5588E-9,107.5616E-3,5.0826E-6,104.7250E-6,,,47.2534E-6,21.1625E+3,
,1.9992E+0,1.4423E-6,100.2576E-3,5.0839E-6,104.7300E-6,,,50.7080E-6,19.7208E+3,
,2.0064E+0,-338.7214E-9,100.2576E-3,5.4953E-6,104.7350E-6,,,54.8114E-6,18.2444E+3,
,1.9949E+0,-69.0370E-9,106.1008E-3,4.9458E-6,104.7400E-6,,,46.6138E-6,21.4529E+3,
,2.0035E+0,-477.1456E-9,104.6400E-3,5.6317E-6,104.7450E-6,,,53.8194E-6,18.5807E+3,
,1.9949E+0,479.8835E-9,95.8752E-3,6.0445E-6,104.7500E-6,,,63.0457E-6,15.8615E+3,
,1.9977E+0,69.3869E-9,109.0224E-3,5.7681E-6,104.7550E-6,,,52.9072E-6,18.9010E+3,
,2.0107E+0,760.9104E-9,100.2576E-3,5.0839E-6,104.7600E-6,,,50.7080E-6,19.7208E+3,
,1.9963E+0,617.7104E-9,94.4143E-3,4.9477E-6,104.7650E-6,,,52.4041E-6,19.0825E+3,
,1.9963E+0,343.2502E-9,101.7184E-3,4.8094E-6,104.7700E-6,,,47.2811E-6,21.1501E+3,
,2.0064E+0,-64.2612E-9,107.5616E-3,4.9455E-6,104.7750E-6,,,45.9785E-6,21.7493E+3,
,1.9977E+0,-616.7637E-9,104.6400E-3,4.1232E-6,104.7800E-6,,,39.4038E-6,25.3783E+3,
,1.9977E+0,-616.7637E-9,101.7184E-3,4.1237E-6,104.7850E-6,,,40.5403E-6,24.6668E+3,
,1.9977E+0,-342.3034E-9,100.2576E-3,4.6725E-6,104.7900E-6,,,46.6046E-6,21.4571E+3,
,2.0049E+0,-613.7787E-9,103.1792E-3,4.9462E-6,104.7950E-6,,,47.9384E-6,20.8601E+3,
,2.0064E+0,-1.0249E-6,95.8752E-3,4.9475E-6,104.8000E-6,,,51.6031E-6,19.3787E+3,
,1.9977E+0,-1.3029E-6,104.6400E-3,5.2203E-6,104.8050E-6,,,49.8879E-6,20.0450E+3,
,2.0020E+0,-889.4328E-9,100.2576E-3,5.9067E-6,104.8100E-6,,,58.9148E-6,16.9737E+3,
,1.9920E+0,-756.3817E-9,101.7184E-3,6.1807E-6,104.8150E-6,,,60.7626E-6,16.4575E+3,
,2.0006E+0,-615.5695E-9,106.1008E-3,5.4943E-6,104.8200E-6,,,51.7837E-6,19.3111E+3,
,1.9949E+0,-480.7274E-9,110.4832E-3,6.1792E-6,104.8250E-6,,,55.9290E-6,17.8798E+3,
